feature_1,feature_2,feature_4,feature_5,feature_6,feature_7
0.49594814,0.4901642,0.5029225,0.49640334,0.50627595,0.48594287
0.22285931,0.31707615,0.49104908,0.5638599,0.454356,0.48231375
0.6938017,0.6169407,0.5135006,0.4608151,0.537849,0.49794072
0.62005264,0.5679769,0.5093397,0.474789,0.52544945,0.4932194
0.6696353,0.6005294,0.51208806,0.4655534,0.53364384,0.49633777
0.5460277,0.5212054,0.5054699,0.4878177,0.51389194,0.48883063
0.36634928,0.40897387,0.49617785,0.5191296,0.48610875,0.4783029
0.2241118,0.31759542,0.4914194,0.5627146,0.4560359,0.48062274
0.5598234,0.5298127,0.5061778,0.4854329,0.5160073,0.48963323
0.45296484,0.4635561,0.5007344,0.5037788,0.4997325,0.4834635
0.7596005,0.6642426,0.5177147,0.4467183,0.55036557,0.5027251
0.25822812,0.3364619,0.49030212,0.5420016,0.4670129,0.47171968
0.39534387,0.42748284,0.49773815,0.51387554,0.4907727,0.48006958
0.7992529,0.6953434,0.52064234,0.43696877,0.55902904,0.50605035
0.27372828,0.34686416,0.49075124,0.5373651,0.4699093,0.47216192
0.8041655,0.69937724,0.5210337,0.43566877,0.5601847,0.50649494
0.29604396,0.3623737,0.49214083,0.5327025,0.47405332,0.47373393
0.23834243,0.3251735,0.49185663,0.5530759,0.46353087,0.47382075
0.74475294,0.6531655,0.5167052,0.4500887,0.547372,0.50157887
0.33029112,0.38543916,0.49416167,0.52591264,0.48008537,0.47602066
0.62391543,0.57046854,0.50954807,0.47408834,0.526071,0.4934557
0.57972735,0.54230374,0.50720775,0.48196408,0.5190844,0.49080122
0.46938705,0.4737353,0.50157285,0.50095284,0.5022398,0.48441342
0.334423,0.38817084,0.49439782,0.52511847,0.4807907,0.476288
0.45482755,0.46471208,0.5008298,0.5034576,0.5000176,0.4835715
0.32550222,0.38226038,0.49388605,0.52683926,0.47926235,0.47570872
0.33230415,0.38677126,0.49427694,0.52552515,0.48042953,0.47615108
0.5112241,0.49961236,0.5036976,0.49379048,0.5085938,0.48682147
0.21309967,0.31297183,0.48811093,0.5729217,0.44106796,0.49574172
0.4881335,0.4853324,0.5025258,0.49774027,0.5050899,0.4854934
0.7509272,0.6577389,0.5171201,0.44870296,0.5486027,0.5020499
0.6570608,0.5921454,0.5113742,0.4679507,0.5315166,0.49552763
0.68902886,0.61366564,0.513217,0.4617659,0.53700507,0.4976189
0.7022185,0.6227603,0.5140067,0.45911855,0.5393548,0.49851522
0.7474649,0.65516865,0.5168866,0.4494827,0.5479102,0.5017848
0.37512422,0.41460907,0.496655,0.5175232,0.48753473,0.4788431
0.20853455,0.3110153,0.48670325,0.5772472,0.4347289,0.5021798
0.58613205,0.5463451,0.50754184,0.4808392,0.5200822,0.4911801
0.5390242,0.5168485,0.505112,0.48902366,0.5128221,0.48842487
0.58838135,0.5477673,0.50765955,0.480443,0.52043366,0.4913136
0.22308002,0.31716776,0.4911144,0.5636578,0.45465243,0.48201525
0.35398003,0.40097368,0.495497,0.521421,0.48407412,0.47753212
0.36125675,0.40568858,0.49589878,0.52006894,0.4852747,0.4779869
0.5315824,0.51222664,0.5047325,0.49030238,0.51168793,0.48799467
0.56485623,0.53296226,0.5064372,0.48455924,0.5167823,0.48992738
0.40266338,0.43210962,0.49812537,0.5125712,0.49193037,0.4805081
0.6066725,0.5593938,0.50862426,0.47719616,0.52331394,0.49240777
0.44500852,0.45861343,0.50032645,0.5051539,0.49851245,0.48300126
0.4532177,0.46371302,0.5007473,0.5037353,0.4997712,0.48347816
0.7847423,0.6836772,0.5195264,0.44068006,0.55573046,0.5047828
0.20853455,0.3110153,0.48670325,0.5772472,0.4347289,0.5021798
0.6186378,0.56706583,0.50926363,0.47504494,0.5252223,0.49313304
0.55782115,0.52856123,0.5060748,0.4857799,0.51569957,0.48951647
0.8004635,0.6963332,0.5207382,0.43665063,0.5593119,0.5061592
0.81473094,0.70821077,0.5219012,0.43278983,0.5627447,0.5074805
0.8202042,0.7128771,0.52236557,0.43125024,0.5641139,0.5080081
0.46617526,0.47174644,0.5014092,0.5015045,0.50175047,0.48422801
0.5234999,0.507214,0.5043212,0.4916886,0.5104583,0.48752835
0.72436535,0.6383678,0.51537967,0.4545207,0.5434365,0.5000739
0.7262537,0.6397199,0.51549983,0.45411882,0.5437933,0.5002103
0.68287593,0.609469,0.51285493,0.4629803,0.53592736,0.49720794
0.5076475,0.4973995,0.5035161,0.49440235,0.50805104,0.48661575
0.21554267,0.314009,0.4888553,0.57062995,0.4444276,0.49233806
0.8142864,0.7078346,0.52186394,0.43291336,0.5626349,0.50743824
0.6975937,0.61955535,0.5137275,0.46005395,0.5385245,0.49819845
0.59487796,0.5518838,0.5080005,0.47929507,0.521452,0.49170038
0.86051494,0.7495265,0.52618545,0.41863513,0.5753415,0.512349
0.8674723,0.7563397,0.5269345,0.41617203,0.5775357,0.5132006
0.3321766,0.38668695,0.4942696,0.52554965,0.48040774,0.47614282
0.81839526,0.71132773,0.52221096,0.43176287,0.5636579,0.5078324
0.22079428,0.31621626,0.49043515,0.5657568,0.45157382,0.4851177
0.5338115,0.5136102,0.5048461,0.48991963,0.5120274,0.48812345
0.4104641,0.43702343,0.49853548,0.5111895,0.49315664,0.4809726
0.2954166,0.36194333,0.49210265,0.5328307,0.47393942,0.47369072
0.30112097,0.3658453,0.49244827,0.5316702,0.47497064,0.47408175
0.7043782,0.6242629,0.5141378,0.45867896,0.53974503,0.49866414
0.3586779,0.40402043,0.49575678,0.5205468,0.4848504,0.47782618
0.32926723,0.3847607,0.4941029,0.52611023,0.47990987,0.47595415
0.43928593,0.45505267,0.5000321,0.50614595,0.4976323,0.48266786
0.79002565,0.68788356,0.51992613,0.4393499,0.55691254,0.50523686
0.34622478,0.4019759,0.4912885,0.5334435,0.46506953,0.4993593
0.35352415,0.40067753,0.4954717,0.5215062,0.48399857,0.47750345
0.26020762,0.33756378,0.4901518,0.54092824,0.46734983,0.4715166
0.7449573,0.6620561,0.510917,0.46622643,0.5202358,0.53586626
0.62966967,0.5741926,0.50986,0.47303942,0.5270016,0.4938096
0.25502267,0.33466947,0.49054718,0.5437505,0.46646374,0.47205088
0.40575036,0.43405613,0.49828795,0.5120235,0.4924165,0.48069224
0.77547675,0.6764075,0.5188423,0.44295865,0.5537056,0.5040057
0.22528279,0.3180796,0.49176437,0.56164736,0.45760128,0.47904813
0.3380893,0.39058653,0.4946062,0.5244178,0.48141298,0.47652376
0.7436066,0.6523213,0.5166289,0.4503436,0.5471456,0.50149226
0.30020934,0.36522338,0.49239326,0.5318548,0.47480655,0.47401956
0.7549713,0.66075957,0.51739556,0.4477833,0.5494196,0.5023628
0.5476099,0.5221908,0.5055509,0.4875448,0.514134,0.48892245
0.44241962,0.45700315,0.5001935,0.5056025,0.49811453,0.48285058
0.6065697,0.5593282,0.5086188,0.47721455,0.52329755,0.49240154
0.57911277,0.5419165,0.5071758,0.48207182,0.5189888,0.49076495
0.47050518,0.47442752,0.5016298,0.5007609,0.5024102,0.48447794
0.42229414,0.44444534,0.49915305,0.5091086,0.49500334,0.48167202
0.6644093,0.597033,0.5117898,0.4665549,0.53275514,0.49599925
0.70784146,0.6266811,0.51434946,0.45797032,0.5403741,0.49890426
0.70307493,0.62335575,0.51405865,0.45894444,0.53950936,0.4985742
0.5781776,0.54132754,0.50712705,0.48223564,0.5188434,0.4907098
0.48244905,0.48181728,0.5022371,0.49871337,0.50422657,0.48516622
0.2166346,0.31447044,0.48918602,0.5696109,0.4459219,0.4908261
0.31432033,0.3747821,0.49323416,0.5290302,0.47731608,0.47497103
0.29895282,0.36436513,0.49231732,0.5321098,0.47457996,0.47393364
0.28096575,0.35194135,0.4912091,0.53582925,0.47127452,0.47267994
0.55295265,0.5255216,0.5058247,0.48662233,0.5149523,0.48923293
0.49443752,0.48923013,0.50284576,0.49666172,0.5060467,0.48585597
0.4065515,0.43456087,0.49833006,0.51188153,0.4925425,0.48073995
0.81270814,0.7065022,0.5217322,0.43335024,0.5622463,0.5072886
0.4813953,0.48116556,0.50218356,0.49889386,0.50406647,0.48510557
0.48364213,0.48255512,0.50229776,0.4985091,0.5044078,0.48523492
0.4180992,0.44181737,0.49893463,0.5098446,0.49435017,0.48142466
0.42049435,0.44331837,0.49905944,0.50942415,0.49472332,0.48156598
0.64188623,0.582151,0.510529,0.4707905,0.5289969,0.49456862
0.37783682,0.41634482,0.49680158,0.5170297,0.48797292,0.47900906
0.20933272,0.31135914,0.486951,0.5764867,0.435843,0.5010468
0.20853455,0.3110153,0.48670325,0.5772472,0.4347289,0.5021798
0.727775,0.6408119,0.515597,0.4537938,0.54408187,0.50032055
0.79979223,0.69578403,0.520685,0.4368272,0.55915487,0.50609887
0.26681054,0.34196553,0.4903064,0.5388562,0.46858364,0.47165886
0.35282066,0.40022022,0.49543262,0.5216376,0.48388183,0.47745928
0.27608618,0.34852347,0.49090117,0.53686213,0.47035643,0.4723316
0.68254,0.6092407,0.5128352,0.46304628,0.53586876,0.49718565
0.5545119,0.52649456,0.50590473,0.48635268,0.5151915,0.4893237
0.5844514,0.54528356,0.50745404,0.48113483,0.51982,0.49108055
0.23104587,0.32092306,0.49244922,0.5572835,0.46220464,0.4746218
0.489677,0.48628676,0.5026041,0.49747616,0.50532424,0.48558217
0.51137567,0.49970615,0.5037053,0.49376452,0.5086168,0.48683023
0.65483433,0.5906709,0.5112491,0.46837083,0.5311438,0.49538568
0.7019926,0.6226033,0.513993,0.45916444,0.53931415,0.4984997
0.49959737,0.4924206,0.50310755,0.4957792,0.5068295,0.48615274
0.20999312,0.31164312,0.48715538,0.57585895,0.43676293,0.50011164
0.8138388,0.7074562,0.5218265,0.43303755,0.5625243,0.5073956
0.35528302,0.4018198,0.4955692,0.52117807,0.4842899,0.4776138
0.38239187,0.41925326,0.49704677,0.51620406,0.48870584,0.47928667
0.55754465,0.54644185,0.4951985,0.51631,0.46463323,0.5535236
0.28513563,0.35484546,0.49146974,0.534955,0.47205156,0.47297472
0.40431538,0.43315163,0.4982124,0.5122779,0.49219066,0.48060668
0.77672017,0.67737544,0.5189328,0.4426567,0.5539739,0.50410855
0.85814047,0.74723876,0.5259369,0.41945297,0.5746132,0.51206666
0.87956166,0.76958036,0.52917063,0.41314676,0.5795189,0.51806587
0.76729804,0.6700968,0.51825464,0.444917,0.5519657,0.50333834
0.79301304,0.6902825,0.5201555,0.43858728,0.55759037,0.50549734
0.32657287,0.38297227,0.49394786,0.5266315,0.47944686,0.47577864
0.4929383,0.4883032,0.5027697,0.4969182,0.50581914,0.48576978
0.85847574,0.7475607,0.5259718,0.4193382,0.57471544,0.51210624
0.6360004,0.57830757,0.51020545,0.47187787,0.5280322,0.49420157
0.57431877,0.5388997,0.50692666,0.4829105,0.5182448,0.4904825
0.67360264,0.60319537,0.51231617,0.46478793,0.5343231,0.49659654
0.37002888,0.4113408,0.4963785,0.5184542,0.48670834,0.47853005
0.767607,0.6703335,0.5182765,0.4448439,0.55203056,0.50336325
0.6758058,0.6046806,0.5124435,0.46436083,0.5347022,0.496741
0.5133576,0.5009327,0.50380594,0.49342537,0.50891757,0.48694423
0.21805179,0.31506735,0.48961356,0.56829274,0.44785473,0.48887208
0.39964455,0.43020332,0.49796593,0.5131082,0.49145374,0.48032758
0.801761,0.69739723,0.52084124,0.436308,0.5596165,0.50627637
0.30607307,0.36921275,0.49274534,0.53067255,0.47585708,0.47441787
0.7908886,0.68857497,0.5199922,0.4391304,0.5571076,0.5053117
0.6060693,0.55900866,0.5085922,0.477304,0.5232182,0.49237138
0.59259987,0.55043876,0.5078808,0.47969818,0.5210944,0.4915645
0.28041023,0.3515533,0.49117422,0.5359463,0.47117049,0.47264048
0.57339716,0.53832054,0.5068789,0.48307148,0.518102,0.49042827
0.371212,0.41210058,0.49644285,0.5182376,0.48690063,0.4786029
0.6492315,0.58697295,0.510936,0.46942267,0.53021044,0.4950304
0.20903766,0.31123215,0.4868595,0.5767677,0.43543142,0.50146526
0.40469638,0.4333918,0.49823248,0.5122103,0.49225062,0.48062938
0.4988463,0.49195617,0.50306946,0.49590766,0.5067156,0.48610958
0.4726573,0.47575966,0.5017393,0.5003916,0.50273776,0.48460206
0.43217874,0.4506227,0.49966547,0.50738174,0.4965357,0.48225248
0.7208748,0.6358775,0.515159,0.4552593,0.54278076,0.49982336
0.32427052,0.38144058,0.49381483,0.5270787,0.47904968,0.47562814
0.4472713,0.46001998,0.5004426,0.5047625,0.49885982,0.4831329
0.69249046,0.6160392,0.5134223,0.46107706,0.53761643,0.49785203
0.7293715,0.6419604,0.51569927,0.4534516,0.5443858,0.5004367
0.31362587,0.37431493,0.4931933,0.52916765,0.47719404,0.47492474
0.20853455,0.3110153,0.48670325,0.5772472,0.4347289,0.5021798
0.20853455,0.3110153,0.48670325,0.5772472,0.4347289,0.5021798
0.28732494,0.35636428,0.49160564,0.534499,0.47245684,0.47312844
0.20853455,0.3110153,0.48670325,0.5772472,0.4347289,0.5021798
0.68618864,0.611725,0.51304936,0.46232805,0.53650624,0.49742866
0.39994612,0.43039387,0.49798188,0.51305455,0.49150136,0.48034567
0.29426917,0.3611554,0.49203265,0.53306574,0.47373056,0.47361153
0.7129346,0.6302563,0.5146632,0.45691937,0.541307,0.49926043
0.30222014,0.36659428,0.49251443,0.53144795,0.47516805,0.47415665
0.49485567,0.48948875,0.502867,0.4965902,0.50611013,0.48588005
0.7340425,0.645336,0.51600087,0.45244315,0.5452812,0.50077903
0.75371265,0.6598172,0.5173095,0.4480706,0.5491645,0.502265
0.63657796,0.578684,0.5102371,0.47177148,0.5281265,0.49423742
0.5896898,0.54859537,0.5077281,0.4802122,0.52063835,0.49139136
0.29335558,0.36052734,0.4919768,0.5332531,0.473564,0.47354832
0.61319214,0.5635671,0.50897175,0.47602695,0.5243511,0.4928019
0.22325683,0.31724116,0.49116674,0.563496,0.45488977,0.4817763
0.44555333,0.45895213,0.5003544,0.50505966,0.4985961,0.483033
0.5215482,0.5060046,0.50422204,0.49202302,0.51016164,0.4874159
0.2151821,0.31385633,0.48874584,0.5709673,0.44393316,0.49283862
0.21674335,0.3145163,0.4892189,0.5695095,0.4460705,0.49067575
0.7958986,0.6926143,0.52037925,0.4378432,0.55825174,0.5057515
